Row,Website,Found_Emails,Pages_Scraped,Status
,https://www.instagram.com/new_style_salon_and_spa?igsh=MWtzZDQyZXZjYm0zZg==,,3,no_emails_found
,https://buddhadentalcare.ca/,,3,no_emails_found
,https://www.catholic-cemeteries.ca/cemeteries/assumption-catholic-cemetery/,,3,no_emails_found
,https://www.shoppersdrugmart.ca/en/store-locator/store/1376/?utm_source=G&utm_medium=lpm&utm_campaign=LPM_SDM,,0,site_down
,https://kidsandcompany.com/locations/brampton/,marketing@kidsandcompany.com; parents@kidsandcompany.com; backup@kidsandcompany.com; corporatesales@kidsandcompany.com; careers@kidsandcompany.com; brampton@kidsandcompany.com,3,ok
,http://ravigulatilaw.com/,,3,no_emails_found
,https://hizabeautysalon.ca/,,3,no_emails_found
,http://www.michelleloraine.com/,,3,no_emails_found
,https://www.primeautobrampton.ca/,,3,no_emails_found
,https://www.caledonphysio.ca/,,3,no_emails_found
,https://www.eyeoptical.ca/,,3,no_emails_found
,http://aimstudycentre.ca/,aimstudycentre.ca@gmail.com; info@aimstudycentre.ca; 691-1011aimstudycentre.ca@gmail.com,3,ok
,http://www.revivebeautyspa.com/,info@revivebeautyspa.com,3,ok
,http://www.9autosales.ca/,,3,no_emails_found
,http://www.bkllp.ca/,info@bkllp.ca,3,ok
,http://ptcare.ca/,drtfarooq@gmail.com,3,ok
,https://www.guardian-ida-remedysrx.ca/en/ontario/brampton/b-a-c-pharmacy-7029700?utm_source=google&utm_medium=maps&utm_campaign=local_presence,,3,no_emails_found
,https://oxfordlearning.com/locations/brampton-ebenezer-tutoring/,,3,no_emails_found
,https://healthplustherapy.com/,,3,no_emails_found
,https://pharmasave.com/brampton-queen-st/,info@bc.pharmasave.ca,3,ok
,https://epicvision.ca/,epicvisioneyecare@gmail.com,3,ok
,https://ec-accountants.com/?page_id=16,,3,no_emails_found
,http://www.maltonpainandrehab.com/,maltonpainandrehab@gmail.com,3,ok
,https://virkcpa.com/,,0,site_down
,http://www.icaneducation.ca/brampton-tutoring,,0,site_down
,https://voddenmdpharmacy.myshopify.com/,,3,no_emails_found
,https://www.guardian-ida-remedysrx.ca/en/ontario/brampton/health-solutions-plus-remedysrx-7024790?utm_source=google&utm_medium=maps&utm_campaign=local_presence,,3,no_emails_found
,https://www.boostautoandtrucksales.com/,,3,no_emails_found
,https://eyeonox.com/,eyeonox@gmail.com,1,ok
,http://www.kaapros.com/,accountant@kaapro.ca,3,ok
,http://chalooptical.ca/,info.chalooptical@gmail.com,3,ok
,http://www.mylocalrx.ca/,,3,no_emails_found
,https://www.pinpointhealth.ca/location/etobicoke-humber/,info@pinpointhealth.ca,3,ok
,http://torontocarsale.com/,,3,no_emails_found
