Row,Website,Found_Emails,Pages_Scraped,Status
227,https://westpointoptical.ca/locations/brampton-west/,,1,no_emails_found
522,https://www.arbormemorial.ca/en/glenview.html?utm_source=google&utm_medium=organic&utm_campaign=0701_glenview_google-my-business,,1,no_emails_found
1065,http://cambridgesportandspine.com/,webmaster@cambridgesportandspine.com,1,ok
527,https://www.mackinnonandbowes.com/,info@mackinnonbowes.com,1,ok
1069,https://megamindlearning.com/caledon-kennedy-campus.html,,1,no_emails_found
775,https://www.panelphysician.ca/,,1,no_emails_found
235,https://www.bramptoneyeclinic.com/,,1,no_emails_found
531,https://www.autoparkbrampton.ca/en?utm_source=google_local&utm_medium=organic,,1,no_emails_found
242,https://www.guardian-ida-remedysrx.ca/en/ontario/brampton/spring-valley-pharmacy-7019148,,1,no_emails_found
778,https://www.pthealth.ca/clinic/pt-health-north-brampton/?utm_source=gmb&utm_medium=organic,,1,no_emails_found
534,https://oxfordlearning.com/locations/brampton-springdale-tutoring/,,1,no_emails_found
537,http://premium-institute.com/,,0,site_down
781,http://www.focusphysiotherapy.com/locations/brampton-clinic/,,1,no_emails_found
243,https://peoplescompoundingpharmacy.ca/,,1,no_emails_found
782,http://www.bramptonccc.com/,,1,no_emails_found
538,https://megamindlearning.com/brampton-bramalea-campus.html,,1,no_emails_found
796,https://www.royallepage.ca/en/office/ontario/brampton/royal-lepage-credit-valley-real-estate/515/,brampton@royallepage.ca,1,ok
244,https://pulseucc.com/our-services/pharmacy/?utm_source=google&utm_medium=organic&utm_campaign=pharmacygmblisting,,1,no_emails_found
799,https://www.thebramptonrealtor.com/,,1,no_emails_found
246,https://www.guardian-ida-remedysrx.ca/en/ontario/brampton/james-potter-road-pharmacy-7017609?utm_source=google&utm_medium=maps&utm_campaign=local_presence,,1,no_emails_found
808,http://www.iamoptical.com/,,1,no_emails_found
810,http://www.brampton-optometrist.ca/,,1,no_emails_found
247,https://www.guardian-ida-remedysrx.ca/en/ontario/brampton/downtown-brampton-pharmacy-7029020?utm_source=google&utm_medium=maps&utm_campaign=local_presence,,1,no_emails_found
544,http://bramcountrydental.com/,,1,no_emails_found
250,http://pharmachoice.com/,,1,no_emails_found
811,https://vinavisionoptical.ca/,,0,site_down
546,https://springdaledental.com/,,1,no_emails_found
551,https://www.northbramaleadental.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,,1,no_emails_found
255,http://www.ultracarespecialtypharmacy.ca/,,1,no_emails_found
254,https://wexfordmed.com/our-pharmacy/,info@example.com; info@wexfordmed.com,1,ok
