Row,Website,Found_Emails,Pages_Scraped,Status
746,http://www.metro.ca/find-a-store/details.en.html?id=322&utm_source=G&utm_medium=local&utm_campaign=google-local,,0,site_down
460,https://www.instagram.com/thelabbrampton/profilecard/?igsh=MTRldWd0dnA4bDFiNA==,,3,no_emails_found
285,https://www.dignitymemorial.com/en-ca/funeral-homes/ontario/brampton/andrews-community-funeral-centre-bramalea-chapel/3163,,3,no_emails_found
601,http://www.avtarsingh.ca/,,3,no_emails_found
138,http://www.parammann.com/,,3,no_emails_found
361,https://vantagemedical.ca/,,0,site_down
901,http://www.allwellpharmacy.ca/,allwellpharmacyinc@gmail.com; allwell.huronheights@gmail.com,3,ok
225,https://bramaleaoptometric.com/,,3,no_emails_found
51,https://www.physiomed.ca/find-a-clinic/brampton-sandalwood/overview/,,3,no_emails_found
523,https://www.catholic-cemeteries.ca/cemeteries/queen-of-heaven-catholic-cemetery/,,3,no_emails_found
1032,https://www.desjardinsagents.com/agent/ON/brampton/timothy-cusimano/601937?utm_id=ls-e-0-24931&campagne=ls-e-0-24931,,3,no_emails_found
676,http://healthplustherapy.com/,,3,no_emails_found
823,https://www.attrelltoyota.com/inventory/used/,,3,no_emails_found
139,http://www.4561000.com/,,3,no_emails_found
603,http://rockysellsgta.com/,,0,site_down
755,http://www.healthmedica.ca/,,3,no_emails_found
469,http://mandysbeautysalonandspa.com/,,3,no_emails_found
226,http://www.brampton-optometrist.ca/,,3,no_emails_found
904,https://www.guardian-ida-remedysrx.ca/en/ontario/brampton/kennedy-queen-medcare-rx-7065813?utm_source=google&utm_medium=maps&utm_campaign=local_presence,,3,no_emails_found
679,http://healingvision.ca/,,0,site_down
286,http://www.affordablefuneralservices.ca/,,0,site_down
59,https://www.westbramphysio.com/,,3,no_emails_found
366,https://vitalurgentcare.ca/brampton/,,2,no_emails_found
824,http://www.brillianttutor.com/,,3,no_emails_found
531,https://www.autoparkbrampton.ca/en?utm_source=google_local&utm_medium=organic,,3,no_emails_found
141,https://www.razarealestate.ca/,,3,no_emails_found
474,https://www.instagram.com/reel/CnlRPAWgJGP/?igshid=YmMyMTA2M2Y=,,3,no_emails_found
287,https://www.catholic-cemeteries.ca/cemeteries/assumption-catholic-cemetery/,,3,no_emails_found
760,http://www.tutoringacademy.ca/locations/ontario/bramport.php,,3,no_emails_found
604,https://satindermangat.ca/,,3,no_emails_found
369,https://www.bramptonpcw.com/,,0,site_down
916,http://roopalisharmadental.ca/,,3,no_emails_found
227,https://westpointoptical.ca/locations/brampton-west/,,3,no_emails_found
686,http://dhillonlawoffice.ca/,,0,site_down
827,https://www.drwinstonlaw.com/,,3,no_emails_found
1044,https://panachebeauty.ca/?utm_source=google&utm_medium=gmb&utm_id=paid-ads,,3,no_emails_found
534,https://oxfordlearning.com/locations/brampton-springdale-tutoring/,,3,no_emails_found
476,http://labeautysalonandlaserclinic.com/,,0,site_down
289,http://www.michelleloraine.com/,,3,no_emails_found
63,http://www.animalcareclinic.ca/,,3,no_emails_found
1041,https://www.anytimefitness.ca/gyms/4022/brampton-on-l6x-0b3/?utm_source=google&utm_medium=organic-businesslisting&utm_campaign=gbp-listing&utm_content=4022,,2,no_emails_found
149,http://aaxel.ca/,,3,no_emails_found
761,https://www.trinitydental.ca/,,3,no_emails_found
65,http://www.snelgrovevet.com/,,3,no_emails_found
46,https://www.bramptononphysio.com/,,0,site_down
605,http://www.rockysaini.com/,,3,no_emails_found
537,http://premium-institute.com/,,0,site_down
371,https://activephysiobrampton.com/,,3,no_emails_found
917,http://www.drbhandal.com/,,3,no_emails_found
831,http://www.thefamilydentist.ca/,,3,no_emails_found
687,http://www.ahujalawpc.ca/,,3,no_emails_found
235,https://www.bramptoneyeclinic.com/,,3,no_emails_found
1046,http://www.rkdsalonspa.com/,,3,no_emails_found
153,http://www.tinyurl.com/jimmyjhandi,,2,no_emails_found
299,http://www.9autosales.ca/,,3,no_emails_found
765,https://www.dawsondental.ca/site/brampton-dentist?utm_source=G&utm_medium=LPM&utm_campaign=DentalCorp,,3,no_emails_found
606,http://www.teamsukhvinder.com/,,3,no_emails_found
477,https://icsalonandspa.com/,,3,no_emails_found
538,https://megamindlearning.com/brampton-bramalea-campus.html,,3,no_emails_found
919,https://drabouzgiaandassociates.com/,,3,no_emails_found
71,http://www.dixieroadpet.com/,,3,no_emails_found
374,http://completerehab.ca/,,3,no_emails_found
696,http://www.analytiqaccounting.com/,,1,no_emails_found
154,https://www.insurewithprianka.com/,,0,site_down
